Word,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Face,Body,Touch,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal,Temperature,Texture,Weight
celery,5.03,2.29,0.29,4.91,3.82,0.53,3.53,0.41,0.18,0.21,0.56,4.59,0.0,0.18,2.91,0.06,1.0,0.76,0.03,0.03,1.03,0.0,0.0,4.94,2.85,4.18,2.91,0.0,0.44,0.18,1.85,1.97,3.03,0.38,0.38,0.35,0.68,0.26,1.12,0.44,0.24,0.06,0.12,0.09,0.32,2.76,0.26,2.85,0.97,1.29,0.09,0.09,0.56,0.03,0.06,0.62,0.47,0.5,0.44,2.62,2.76,4.68
doctor,4.5357,0.5357,0.1786,0.75,0.5357,1.25,0.5714,2.1071,5.0357,0.9643,0.8571,2.0714,6.0,5.9286,0.3214,3.6071,2.4286,0.3571,0.25,0.1429,0.5714,0.1786,5.6429,0.2143,0.6429,2.1786,2.9286,1.4643,1.5,0.4643,4.6071,1.0357,0.75,0.3929,0.2143,0.75,0.5714,0.8929,0.4643,2.1786,2.8571,5.5714,1.2143,0.4643,1.0,5.4643,1.4643,2.1429,2.3929,1.8929,1.7857,0.7857,0.5,2.1429,1.25,3.0714,3.8571,2.4286,2.6071,0.25,0.75,1.5
household,5.11111111111111,1.62962962962962,0.555555555555555,1.55555555555555,1.96296296296296,3.03703703703703,0.851851851851851,2.85185185185185,3.37037037037037,1.25925925925925,1.0,2.81481481481481,3.44444444444444,3.25925925925925,1.74074074074074,0.629629629629629,2.59259259259259,1.7037037037037,0.518518518518518,0.629629629629629,2.55555555555555,0.777777777777777,3.7037037037037,0.962962962962962,2.29629629629629,1.14814814814814,1.55555555555555,1.22222222222222,4.4074074074074,0.74074074074074,5.22222222222222,4.55555555555555,1.03703703703703,0.703703703703703,2.03703703703703,1.07407407407407,1.22222222222222,3.11111111111111,0.518518518518518,2.62962962962962,4.29629629629629,3.92592592592592,1.96296296296296,3.44444444444444,1.55555555555555,4.25925925925925,1.03703703703703,4.62962962962963,0.851851851851851,4.62962962962963,1.29629629629629,1.07407407407407,0.592592592592592,0.555555555555555,1.59259259259259,3.44444444444444,4.4074074074074,3.14814814814814,4.18518518518518,0.333333333333333,1.18518518518518,2.4074074074074
chocolate,4.6552,0.1379,4.7931,5.0345,2.8621,0.4138,3.4828,0.069,0.1724,0.0345,0.2069,2.2069,0.0,0.0345,2.0,0.1379,0.0,0.0,0.069,0.0,0.0,0.0,0.0,5.9655,5.0,4.7931,2.4138,0.0,0.1034,0.0,0.6897,1.9655,3.1034,0.1034,0.4138,0.1724,0.3793,0.4828,1.0,0.8966,0.5172,0.0,0.1379,0.5172,0.069,1.7241,0.5862,5.1379,0.069,4.3103,0.069,0.0,0.0345,0.0,0.7241,1.0345,2.0,1.9655,2.6897,1.4138,4.0,3.7241
hairbrush,4.6667,1.3,0.9667,1.6667,3.4333,0.7333,3.3333,0.9667,0.0,0.3667,0.7333,4.9,0.0,0.3333,4.7,0.8333,0.2333,0.2667,0.1333,0.1333,0.7667,0.0,0.0,0.2,0.2,0.9333,5.3333,0.0333,0.3,1.1333,2.3,4.2,2.0667,1.8667,0.7333,1.6333,0.8333,0.8333,1.1,0.9333,0.5333,0.0667,0.0667,1.2333,0.3,3.0667,0.7,2.1667,0.4,1.6667,0.0333,0.1,0.1333,0.1,0.0667,0.9667,3.1,0.6,0.4667,0.8667,3.7,4.7667
rhinoceros,5.53,0.63,2.63,4.43,3.57,5.53,0.0,3.93,5.93,2.5,2.73,5.67,0.93,2.0,2.33,1.33,3.73,3.67,1.57,1.17,2.77,0.2,0.5,0.6,2.23,0.73,0.43,2.17,1.03,1.97,3.3,0.17,0.97,0.67,0.33,0.4,0.67,0.97,0.67,1.47,0.47,1.73,0.1,0.03,0.57,1.0,4.93,1.9,1.47,2.13,0.53,0.4,0.47,3.5,2.6,0.83,0.1,5.0,3.47,0.6,4.4,5.73
peace,0.6923,0.6154,0.0,0.3462,0.1923,0.5769,0.1923,0.3846,0.1538,0.0769,0.2308,0.1538,0.2308,0.2692,0.0385,0.1154,0.3077,0.1538,0.0769,0.0769,0.3462,0.2692,0.1923,0.2308,0.1538,0.6154,0.3462,0.3462,0.1154,0.3462,0.9615,0.6538,0.5385,0.2692,0.1538,0.8462,1.5,2.8077,1.8077,4.1923,3.8077,1.5,1.3077,3.3462,3.6154,5.7692,0.0769,5.5,0.0,5.5,0.2308,0.0,0.0,0.0385,0.8462,3.5385,4.5385,1.8846,2.7692,0.0769,0.2692,0.5769
glamor,5.0,2.38461538461538,0.423076923076923,1.8076923076923,2.53846153846153,0.73076923076923,0.423076923076923,2.73076923076923,1.3076923076923,0.807692307692307,0.269230769230769,2.46153846153846,1.69230769230769,1.96153846153846,1.03846153846153,0.346153846153846,0.153846153846153,0.115384615384615,0.153846153846153,0.23076923076923,0.807692307692307,0.384615384615384,1.53846153846153,2.5,1.11538461538461,2.03846153846153,2.11538461538461,1.73076923076923,0.538461538461538,0.461538461538461,1.65384615384615,0.615384615384615,0.346153846153846,0.269230769230769,0.269230769230769,0.961538461538461,0.615384615384615,1.19230769230769,1.69230769230769,1.53846153846153,2.15384615384615,2.11538461538461,1.69230769230769,2.38461538461538,1.61538461538461,1.96153846153846,0.115384615384615,4.8076923076923,0.115384615384615,4.0,0.0769230769230769,0.0384615384615384,0.0769230769230769,0.0384615384615384,2.03846153846153,2.38461538461538,0.692307692307692,5.11538461538461,3.15384615384615,0.269230769230769,1.69230769230769,1.26923076923076
subway,5.069,0.8966,1.3103,1.8966,2.2069,4.9655,0.1034,4.7586,0.3103,5.4483,1.0,4.3448,0.0,0.069,1.2069,0.2414,4.5862,4.3103,1.6552,1.8621,4.4483,0.2414,0.1379,0.069,1.6897,0.0345,0.6207,1.0345,3.3793,4.4483,4.4483,0.4828,1.4828,2.3103,0.5517,3.5517,2.8276,1.1034,0.9655,1.2069,2.0345,0.1034,0.2069,0.2414,0.1724,3.8966,1.8276,0.9655,1.4483,0.6552,0.2759,0.069,0.8621,0.7586,0.2069,0.4828,0.8276,2.2759,1.0,1.7241,1.8621,4.931
insult,0.5517,0.069,0.4483,0.1379,0.2759,0.3448,0.1379,0.3448,0.2759,0.2069,0.069,0.3448,0.6897,0.2069,0.1034,2.069,3.6552,1.2069,0.6897,0.4828,1.3793,0.2759,0.8621,0.1034,0.1379,4.3103,1.7241,0.4483,0.0345,0.3103,0.5517,0.4138,0.4483,0.4828,0.1724,0.6207,1.1034,0.9655,2.2759,4.5517,4.8966,1.069,4.2414,1.0,3.4138,0.3448,3.8621,0.2414,5.5517,0.069,4.4828,5.3793,3.8276,1.8966,3.3448,2.7586,0.2069,4.2069,4.4483,0.2759,0.2069,0.3793
